"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Confidence","2006","2007",0.316385593138857,1,"0.3164","ns","Wilcoxon"
"2","Confidence","2006","2009",1,1,"1.0000","ns","Wilcoxon"
"3","Confidence","2006","2008",0.347492644655116,1,"0.3475","ns","Wilcoxon"
"4","Confidence","2006","2021",0.211555546351616,1,"0.2116","ns","Wilcoxon"
"5","Confidence","2006","2010",0.617355824037644,1,"0.6174","ns","Wilcoxon"
"6","Confidence","2006","2012",0.533718008168591,1,"0.5337","ns","Wilcoxon"
"7","Confidence","2006","2023",0.723117284619691,1,"0.7231","ns","Wilcoxon"
"8","Confidence","2006","2013",1,1,"1.0000","ns","Wilcoxon"
"9","Confidence","2006","2014",0.159205082021073,1,"0.1592","ns","Wilcoxon"
"10","Confidence","2006","2015",0.923076923076923,1,"0.9231","ns","Wilcoxon"
"11","Confidence","2006","2017",0.0594480167235585,1,"0.0594","ns","Wilcoxon"
"12","Confidence","2006","2019",0.901127468669694,1,"0.9011","ns","Wilcoxon"
"13","Confidence","2006","2020",0.790354743523508,1,"0.7904","ns","Wilcoxon"
"14","Confidence","2006","2022",0.682894423464081,1,"0.6829","ns","Wilcoxon"
"15","Confidence","2006","2024",0.862212355483044,1,"0.8622","ns","Wilcoxon"
"16","Confidence","2006","2016",0.351648351648352,1,"0.3516","ns","Wilcoxon"
"17","Confidence","2006","2011",0.520879120879121,1,"0.5209","ns","Wilcoxon"
"18","Confidence","2006","2018",1,1,"1.0000","ns","Wilcoxon"
"19","Confidence","2007","2009",0.442142309015374,1,"0.4421","ns","Wilcoxon"
"20","Confidence","2007","2008",0.909510829503426,1,"0.9095","ns","Wilcoxon"
"21","Confidence","2007","2021",0.893146228743214,1,"0.8931","ns","Wilcoxon"
"22","Confidence","2007","2010",0.5527978867709,1,"0.5528","ns","Wilcoxon"
"23","Confidence","2007","2012",0.143362158870937,1,"0.1434","ns","Wilcoxon"
"24","Confidence","2007","2023",0.411953421785348,1,"0.4120","ns","Wilcoxon"
"25","Confidence","2007","2013",0.923076923076923,1,"0.9231","ns","Wilcoxon"
"26","Confidence","2007","2014",0.980662752691289,1,"0.9807","ns","Wilcoxon"
"27","Confidence","2007","2015",1,1,"1.0000","ns","Wilcoxon"
"28","Confidence","2007","2017",0.959357818114044,1,"0.9594","ns","Wilcoxon"
"29","Confidence","2007","2019",0.316796223476351,1,"0.3168","ns","Wilcoxon"
"30","Confidence","2007","2020",0.538402438975624,1,"0.5384","ns","Wilcoxon"
"31","Confidence","2007","2022",0.509849438390813,1,"0.5098","ns","Wilcoxon"
"32","Confidence","2007","2024",0.211481597968799,1,"0.2115","ns","Wilcoxon"
"33","Confidence","2007","2016",0.512820512820513,1,"0.5128","ns","Wilcoxon"
"34","Confidence","2007","2011",0.851282051282051,1,"0.8513","ns","Wilcoxon"
"35","Confidence","2007","2018",1,1,"1.0000","ns","Wilcoxon"
"36","Confidence","2009","2008",0.301125362425672,1,"0.3011","ns","Wilcoxon"
"37","Confidence","2009","2021",0.330087250211089,1,"0.3301","ns","Wilcoxon"
"38","Confidence","2009","2010",0.388732813080639,1,"0.3887","ns","Wilcoxon"
"39","Confidence","2009","2012",0.534228612189632,1,"0.5342","ns","Wilcoxon"
"40","Confidence","2009","2023",0.604919108351603,1,"0.6049","ns","Wilcoxon"
"41","Confidence","2009","2013",1,1,"1.0000","ns","Wilcoxon"
"42","Confidence","2009","2014",0.214393225565658,1,"0.2144","ns","Wilcoxon"
"43","Confidence","2009","2015",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"44","Confidence","2009","2017",0.0400600431560184,1,"0.0401","*","Wilcoxon"
"45","Confidence","2009","2019",0.800523498934294,1,"0.8005","ns","Wilcoxon"
"46","Confidence","2009","2020",0.833941931638828,1,"0.8339","ns","Wilcoxon"
"47","Confidence","2009","2022",0.836238632820342,1,"0.8362","ns","Wilcoxon"
"48","Confidence","2009","2024",0.824601843177694,1,"0.8246","ns","Wilcoxon"
"49","Confidence","2009","2016",0.4,1,"0.4000","ns","Wilcoxon"
"50","Confidence","2009","2011",0.56969696969697,1,"0.5697","ns","Wilcoxon"
"51","Confidence","2009","2018",1,1,"1.0000","ns","Wilcoxon"
"52","Confidence","2008","2021",0.905062742106759,1,"0.9051","ns","Wilcoxon"
"53","Confidence","2008","2010",0.544621991999392,1,"0.5446","ns","Wilcoxon"
"54","Confidence","2008","2012",0.0847405844380602,1,"0.0847","ns","Wilcoxon"
"55","Confidence","2008","2023",0.566937884441238,1,"0.5669","ns","Wilcoxon"
"56","Confidence","2008","2013",0.476190476190476,1,"0.4762","ns","Wilcoxon"
"57","Confidence","2008","2014",0.982785240138297,1,"0.9828","ns","Wilcoxon"
"58","Confidence","2008","2015",0.857142857142857,1,"0.8571","ns","Wilcoxon"
"59","Confidence","2008","2017",0.650117354340668,1,"0.6501","ns","Wilcoxon"
"60","Confidence","2008","2019",0.335380551795124,1,"0.3354","ns","Wilcoxon"
"61","Confidence","2008","2020",0.345833882111888,1,"0.3458","ns","Wilcoxon"
"62","Confidence","2008","2022",0.468242349413529,1,"0.4682","ns","Wilcoxon"
"63","Confidence","2008","2024",0.100150415286845,1,"0.1002","ns","Wilcoxon"
"64","Confidence","2008","2016",0.685714285714286,1,"0.6857","ns","Wilcoxon"
"65","Confidence","2008","2011",0.870588235294118,1,"0.8706","ns","Wilcoxon"
"66","Confidence","2008","2018",0.857142857142857,1,"0.8571","ns","Wilcoxon"
